label,removed_group,macro_f1,delta_vs_full
Boredom,表情,0.5656,-0.0154
Boredom,熵/置信,0.5915,0.0105
Boredom,姿态,0.606,0.025
Boredom,尺寸/检出,0.5836,0.0026
Boredom,时序,0.5982,0.0172
Engagement,表情,0.5272,-0.007
Engagement,熵/置信,0.5482,0.014
Engagement,姿态,0.5423,0.0081
Engagement,尺寸/检出,0.5264,-0.0078
Engagement,时序,0.5538,0.0196
Confusion,表情,0.5756,-0.0147
Confusion,熵/置信,0.5966,0.0063
Confusion,姿态,0.5993,0.009
Confusion,尺寸/检出,0.5845,-0.0058
Confusion,时序,0.5899,-0.0004
Frustration,表情,0.5611,-0.0057
Frustration,熵/置信,0.5614,-0.0054
Frustration,姿态,0.5721,0.0053
Frustration,尺寸/检出,0.5689,0.0021
Frustration,时序,0.5616,-0.0052
