label,feature,spearman_rho,ci_lo,ci_hi
Boredom,val_mean,-0.1867,-0.2071,-0.1646
Boredom,val_min,-0.1805,-0.1998,-0.1601
Boredom,ent_mean,0.0691,0.0481,0.0908
Boredom,pmax_mean,-0.0621,-0.0838,-0.042
Boredom,yaw_absmean,0.0339,0.0146,0.0555
Boredom,pitch_mean,0.0102,-0.0097,0.0309
Boredom,pose_move,0.0749,0.0544,0.0944
Boredom,face_w_mean,-0.0284,-0.0516,-0.0062
Boredom,center_move,0.0535,0.0352,0.0751
Boredom,val_change,0.0038,-0.0181,0.0239
Boredom,flip_count,-0.08,-0.1022,-0.0613
Boredom,found_ratio,-0.0407,-0.0616,-0.0216
Engagement,val_mean,0.0588,0.04,0.0803
Engagement,val_min,0.0831,0.0619,0.1027
Engagement,ent_mean,-0.013,-0.0351,0.0095
Engagement,pmax_mean,0.0124,-0.0095,0.0329
Engagement,yaw_absmean,-0.0087,-0.0311,0.0107
Engagement,pitch_mean,-0.0047,-0.027,0.017
Engagement,pose_move,-0.081,-0.1013,-0.0602
Engagement,face_w_mean,0.0759,0.0532,0.0965
Engagement,center_move,-0.0807,-0.1019,-0.0601
Engagement,val_change,-0.029,-0.0491,-0.0066
Engagement,flip_count,0.046,0.0261,0.0664
Engagement,found_ratio,0.0371,0.0149,0.0588
Confusion,val_mean,-0.1677,-0.1863,-0.1499
Confusion,val_min,-0.1928,-0.2126,-0.1736
Confusion,ent_mean,0.1278,0.1082,0.1466
Confusion,pmax_mean,-0.133,-0.151,-0.1131
Confusion,yaw_absmean,0.0685,0.0465,0.0891
Confusion,pitch_mean,0.0441,0.0246,0.0648
Confusion,pose_move,0.0685,0.0477,0.0879
Confusion,face_w_mean,0.0953,0.0746,0.1147
Confusion,center_move,0.0934,0.0726,0.1125
Confusion,val_change,0.0825,0.0605,0.1013
Confusion,flip_count,0.0532,0.0297,0.0735
Confusion,found_ratio,-0.0291,-0.0525,-0.0062
Frustration,val_mean,-0.1713,-0.1895,-0.1527
Frustration,val_min,-0.1802,-0.1987,-0.1596
Frustration,ent_mean,0.1137,0.093,0.1334
Frustration,pmax_mean,-0.1144,-0.1329,-0.0943
Frustration,yaw_absmean,0.0525,0.0319,0.0732
Frustration,pitch_mean,0.0364,0.0126,0.0566
Frustration,pose_move,0.0657,0.0442,0.0871
Frustration,face_w_mean,0.0464,0.0249,0.0679
Frustration,center_move,0.0846,0.0636,0.1055
Frustration,val_change,0.0547,0.0363,0.075
Frustration,flip_count,0.0307,0.0092,0.051
Frustration,found_ratio,-0.0142,-0.037,0.0082
