track_id,n,mean_valence,turned_ratio,head_dev_ratio,attention_proxy,engagement_expr_only,engagement_fused
1,34,-0.0376,0.0,0.0,0.9581,0.4812,0.7197
2,36,-0.1381,0.0,0.0,0.9002,0.4309,0.6656
3,15,0.2938,0.0,0.0,0.9154,0.6469,0.7811
6,18,-0.0965,0.0,0.0,0.8655,0.4518,0.6586
7,30,-0.1199,0.0,0.0,0.9338,0.44,0.6869
8,19,-0.0045,0.0,0.0,0.807,0.4978,0.6524
9,23,-0.3414,0.0,0.0,0.9298,0.3293,0.6295
11,6,0.0154,0.0,0.0,0.8202,0.5077,0.664
12,23,0.056,0.0435,0.0,0.9001,0.528,0.7141
13,19,-0.0626,0.0526,0.0,0.8246,0.4687,0.6466
