训练增广,face_px,acc_mean,acc_std,macro_f1_mean,macro_f1_std,neutral_pred_ratio
常规增广,12,0.301,0.0048,0.2049,0.0014,0.0566
常规增广,16,0.3645,0.0033,0.292,0.001,0.044
常规增广,20,0.4281,0.0011,0.3558,0.0005,0.0454
常规增广,24,0.4856,0.0123,0.4156,0.0136,0.054
常规增广,28,0.5339,0.004,0.4798,0.0034,0.0745
常规增广,32,0.5716,0.004,0.5298,0.0025,0.086
常规增广,48,0.6734,0.0011,0.6438,0.0,0.1774
常规+多尺度退化,12,0.4858,0.0008,0.4075,0.0021,0.1707
常规+多尺度退化,16,0.5597,0.0005,0.4978,0.0013,0.1874
常规+多尺度退化,20,0.604,0.0061,0.5541,0.0049,0.1859
常规+多尺度退化,24,0.6264,0.0,0.5812,0.0024,0.1819
常规+多尺度退化,28,0.6355,0.0012,0.5945,0.0005,0.1876
常规+多尺度退化,32,0.646,0.0014,0.6068,0.0042,0.1896
常规+多尺度退化,48,0.659,0.0012,0.6244,0.0018,0.1908
